Collection Date,Process Date,Site,Body Weight (g),Gonad weight (g),GSI
2/26/2024,2/27/2024,Mohawk,647.2,57.96,0.08956
2/26/2024,2/27/2024,Mohawk,498.26,37.79,0.07584
2/26/2024,2/27/2024,Mohawk,260.93,20.59,0.07891
2/26/2024,2/27/2024,Mohawk,280.49,19.92,0.07102
2/26/2024,2/27/2024,Mohawk,424.24,25.35,0.05975
2/26/2024,2/27/2024,Mohawk,242.9,13.33,0.05488
2/26/2024,2/27/2024,Mohawk,509.8,28.56,0.05602
2/26/2024,2/27/2024,Mohawk,246.8,14.68,0.05948
2/26/2024,2/27/2024,Mohawk,65.7,3.72,0.05662
2/26/2024,2/27/2024,Mohawk,163.5,4.76,0.02911
1/19/2024,1/19/2024,Mohawk,193.68,19.03,0.09825
1/19/2024,1/19/2024,Mohawk,217.18,12.6,0.05802
1/19/2024,1/19/2024,Mohawk,194.05,18.65,0.09611
1/19/2024,1/19/2024,Mohawk,269.89,22.2,0.08226
1/19/2024,1/19/2024,Mohawk,213.77,15.7,0.07344
1/19/2024,1/19/2024,Mohawk,251.11,25.9,0.10314
1/19/2024,1/19/2024,Mohawk,434.1,35.59,0.08199
1/19/2024,1/19/2024,Mohawk,191.8,8.21,0.04281
1/19/2024,1/19/2024,Mohawk,349.7,28.76,0.08224
1/19/2024,1/19/2024,Mohawk,304.35,23.7,0.07787
3/8/2024,3/8/2024,Mohawk,262.28,17.02,0.06489
3/8/2024,3/8/2024,Mohawk,254.86,24.81,0.09735
3/8/2024,3/8/2024,Mohawk,318.3,22.39,0.07034
3/8/2024,3/8/2024,Mohawk,259.3,14.62,0.05638
3/8/2024,3/8/2024,Mohawk,117.6,7.88,0.06701
3/8/2024,3/8/2024,Mohawk,248,15.76,0.06355
3/8/2024,3/8/2024,Mohawk,382.9,34.52,0.09015
3/8/2024,3/8/2024,Mohawk,271.8,12.41,0.04566
3/8/2024,3/8/2024,Mohawk,199.28,13.13,0.06589
4/9/2024,4/9/2024,Mohawk,296.06,31.11,0.10508
4/9/2024,4/9/2024,Mohawk,196.96,4.56,0.02315
4/9/2024,4/9/2024,Mohawk,427,25.94,0.06075
4/9/2024,4/9/2024,Mohawk,249,11.5,0.04618
4/9/2024,4/9/2024,Mohawk,420.3,20.96,0.04987
4/9/2024,4/9/2024,Mohawk,271.4,10.49,0.03865
4/9/2024,4/9/2024,Mohawk,149.2,5.58,0.03740
4/9/2024,4/9/2024,Mohawk,257,16.92,0.06584
4/9/2024,4/9/2024,Mohawk,550.5,25.68,0.04665
4/9/2024,4/9/2024,Mohawk,34.84,28.28,0.81171
5/6/2024,5/7/2024,Mohawk,139.17,1.51,0.01085
5/6/2024,5/7/2024,Mohawk,142.09,3.96,0.02787
5/6/2024,5/7/2024,Mohawk,217.2,5.39,0.02482
5/6/2024,5/7/2024,Mohawk,274,4.03,0.01471
5/6/2024,5/7/2024,Mohawk,198.6,5.72,0.02880
5/6/2024,5/7/2024,Mohawk,176.4,6.66,0.03776
5/6/2024,5/7/2024,Mohawk,276.9,8.1,0.02925
5/6/2024,5/7/2024,Mohawk,198.4,4.37,0.02203
5/6/2024,5/7/2024,Mohawk,330.21,27.65,0.08373
5/6/2024,5/7/2024,Mohawk,228.22,7.14,0.03129