Collection Date,Site,Body Weight (g),Gonad weight (g),GSI
1/19/2024,Mohawk,193.68,19.03,0.09825485337
1/19/2024,Mohawk,217.18,12.6,0.05801639193
1/19/2024,Mohawk,194.05,18.65,0.09610925019
1/19/2024,Mohawk,269.89,22.2,0.08225573382
1/19/2024,Mohawk,213.77,15.7,0.0734434205
1/19/2024,Mohawk,251.11,25.9,0.1031420493
1/19/2024,Mohawk,434.1,35.59,0.08198571758
1/19/2024,Mohawk,191.8,8.21,0.04280500521
1/19/2024,Mohawk,349.7,28.76,0.08224192165
1/19/2024,Mohawk,304.35,23.7,0.07787087235
1/29/2024,ARQ,101.7,0,0
1/29/2024,ARQ,298.7,8.91,0.02982926013
1/29/2024,ARQ,187.8,2.92,0.0155484558
1/29/2024,ARQ,234.3,5.96,0.02543747332
1/29/2024,ARQ,118.8,0,0
1/29/2024,ARQ,165.7,1.98,0.01194930597
1/29/2024,ARQ,104.5,0.84,0.008038277512
1/29/2024,ARQ,349,13.82,0.03959885387
1/29/2024,ARQ,110.6,1.48,0.01338155515
1/29/2024,ARQ,254.4,4.16,0.01635220126
2/12/2024,ARQ,123.9,1.61,0.01299435028
2/12/2024,ARQ,129,1.4,0.01085271318
2/12/2024,ARQ,90.1,1.61,0.01786903441
2/12/2024,ARQ,291.7,11.91,0.04082961947
2/12/2024,ARQ,161.5,4.91,0.03040247678
2/12/2024,ARQ,146,4.35,0.02979452055
2/12/2024,ARQ,249.9,4.51,0.01804721889
2/12/2024,ARQ,251.5,6.55,0.02604373757
2/12/2024,ARQ,125.9,2.82,0.02239872915
2/12/2024,ARQ,103.6,2.34,0.02258687259
2/26/2024,Mohawk,647.2,57.96,0.08955500618
2/26/2024,Mohawk,498.26,37.79,0.0758439369
2/26/2024,Mohawk,260.93,20.59,0.0789100525
2/26/2024,Mohawk,280.49,19.92,0.07101857464
2/26/2024,Mohawk,424.24,25.35,0.05975391288
2/26/2024,Mohawk,242.9,13.33,0.05487855084
2/26/2024,Mohawk,509.8,28.56,0.0560219694
2/26/2024,Mohawk,246.8,14.68,0.05948136143
2/26/2024,Mohawk,65.7,3.72,0.05662100457
2/26/2024,Mohawk,163.5,4.76,0.02911314985
3/8/2024,Mohawk,262.28,17.02,0.06489248132
3/8/2024,Mohawk,254.86,24.81,0.09734756337
3/8/2024,Mohawk,318.3,22.39,0.07034244423
3/8/2024,Mohawk,259.3,14.62,0.05638256845
3/8/2024,Mohawk,117.6,7.88,0.06700680272
3/8/2024,Mohawk,248,15.76,0.0635483871
3/8/2024,Mohawk,382.9,34.52,0.09015408723
3/8/2024,Mohawk,271.8,12.41,0.04565857248
3/8/2024,Mohawk,199.28,13.13,0.0658871939
3/18/2024,ARQ,296.9,18.06,0.06082856181
3/18/2024,ARQ,168.8,1.07,0.006338862559
3/18/2024,ARQ,302.9,6.57,0.02169032684
3/18/2024,ARQ,299.9,3.75,0.01250416806
3/18/2024,ARQ,345.6,8.27,0.02392939815
3/18/2024,ARQ,173.2,2.54,0.01466512702
3/18/2024,ARQ,194.4,8.28,0.04259259259
3/18/2024,ARQ,204.8,3.37,0.01645507813
3/18/2024,ARQ,162.5,3.02,0.01858461538
3/18/2024,ARQ,56.5,0.21,0.003716814159
4/9/2024,Mohawk,296.06,31.11,0.1050800513
4/9/2024,Mohawk,196.96,4.56,0.02315190902
4/9/2024,Mohawk,427,25.94,0.06074941452
4/9/2024,Mohawk,249,11.5,0.04618473896
4/9/2024,Mohawk,420.3,20.96,0.04986914109
4/9/2024,Mohawk,271.4,10.49,0.03865143699
4/9/2024,Mohawk,149.2,5.58,0.03739946381
4/9/2024,Mohawk,257,16.92,0.06583657588
4/9/2024,Mohawk,550.5,25.68,0.04664850136
4/9/2024,Mohawk,34.84,28.28,0.8117106774
4/12/2024,ARQ,140.88,1.83,0.01298977853
4/12/2024,ARQ,121.23,3.86,0.03184030356
4/12/2024,ARQ,138.42,3.63,0.02622453403
4/12/2024,ARQ,108.84,3.73,0.03427048879
4/12/2024,ARQ,163.88,7.73,0.04716866
4/12/2024,ARQ,297.26,11.43,0.03845118751
4/12/2024,ARQ,92.1,1.03,0.0111834962
4/12/2024,ARQ,299.6,7.83,0.02613484646
4/12/2024,ARQ,220.43,7.46,0.03384294334
4/12/2024,ARQ,268.08,13.88,0.05177558938
5/6/2024,ARQ,139.17,1.51,0.01085
5/6/2024,ARQ,142.09,3.96,0.02787
5/6/2024,ARQ,217.2,5.39,0.02482
5/6/2024,ARQ,274,4.03,0.01471
5/6/2024,ARQ,198.6,5.72,0.02880
5/6/2024,ARQ,176.4,6.66,0.03776
5/6/2024,ARQ,276.9,8.1,0.02925
5/6/2024,ARQ,198.4,4.37,0.02203
5/6/2024,ARQ,330.21,27.65,0.08373
5/6/2024,ARQ,228.22,7.14,0.03129
5/10/2024,Mohawk,263.83,27.6,0.10461
5/10/2024,Mohawk,231.53,17.19,0.07425
5/10/2024,Mohawk,188.19,20.34,0.10808
5/10/2024,Mohawk,258.03,19.18,0.07433
5/10/2024,Mohawk,207.33,12.23,0.05899
5/10/2024,Mohawk,414.42,28.5,0.06877
5/10/2024,Mohawk,275.04,29.81,0.10838
5/10/2024,Mohawk,306.21,18.17,0.05934
5/10/2024,Mohawk,281.66,33.69,0.11961
5/10/2024,Mohawk,212.74,20.05,0.09425
6/4/2024,Mohawk,378.22,41.36,0.10935
6/4/2024,Mohawk,246.82,38.42,0.15566
6/4/2024,Mohawk,211.45,27.86,0.13176
6/4/2024,Mohawk,329.71,36.6,0.11101
6/4/2024,Mohawk,248.55,36.22,0.14573
6/4/2024,Mohawk,227.02,20.82,0.09171
6/4/2024,Mohawk,230.15,27.76,0.12062
6/4/2024,Mohawk,268.59,45.71,0.17019
6/4/2024,Mohawk,310.8,49.04,0.15779
6/4/2024,Mohawk,207.44,13.85,0.06677